bookId,coverImg
2767052-the-hunger-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052.jpg
2.Harry_Potter_and_the_Order_of_the_Phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2.jpg
2657.To_Kill_a_Mockingbird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg
1885.Pride_and_Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg
370493.The_Giving_Tree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942l/370493._SX318_.jpg
968.The_Da_Vinci_Code,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968.jpg
24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872220l/24213.jpg
24280.Les_Mis_rables,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091l/24280.jpg
18144590-the-alchemist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542l/18144590._SY475_.jpg
7144.Crime_and_Punishment,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449l/7144.jpg
22628.The_Perks_of_Being_a_Wallflower,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244l/22628.jpg
375802.Ender_s_Game,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802.jpg
17245.Dracula,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245.jpg
13496.A_Game_of_Thrones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496.jpg
1381.The_Odyssey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285l/1381.jpg
4214.Life_of_Pi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562005l/4214.jpg
44767458-dune,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414l/44767458.jpg
3590.The_Adventures_of_Sherlock_Holmes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1164045516l/3590.jpg
2429135.The_Girl_with_the_Dragon_Tattoo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135.jpg
4934.The_Brothers_Karamazov,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126l/4934.jpg
99107.Winnie_the_Pooh,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130l/99107.jpg
49552.The_Stranger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002l/49552._SY475_.jpg
11588.The_Shining,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730l/11588.jpg
99561.Looking_for_Alaska,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394798630l/99561.jpg
1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624l/1618._SY475_.jpg
119073.The_Name_of_the_Rose,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415375471l/119073.jpg
22034.The_Godfather,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394988109l/22034._SY475_.jpg
830502.It,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334416842l/830502.jpg
1845.Into_the_Wild,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403173986l/1845.jpg
33.The_Lord_of_the_Rings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566425108l/33.jpg
